,school_name,faculty_name,affiliation,citedby5y,hindex,hindex5y,i10index,i10index5y
112,Princeton,Coleen T. Murphy,"Professor of Genomics & Molecular Biology, Princeton University",5430,43,37,59,55
113,Princeton,Cameron A. Myhrvold,"Assistant Professor, Princeton University",5007,19,17,21,21
114,Princeton,Daniel A. Notterman,Princeton University,4391,53,34,108,65
115,Princeton,Sabine Petry,Princeton University,1830,20,19,21,21
116,Princeton,Alexander Ploss,"Professor, Department of Molecular Biology, Princeton University",5677,50,40,97,85
117,Princeton,Thomas J. Silhavy,"professor of molelcular biology, princeton university",10792,110,52,255,153
118,Princeton,A.J. te Velthuis,"Assistant Professor, Princeton University",3271,28,24,38,34
119,Princeton,Jared E. Toettcher,"Postdoc, Jared Toettcher (Princeton) & Kazuhiro Aoki (NIBB) Labs",514,9,9,9,9
120,Princeton,Ned Wingreen,"Professor of Molecular Biology, Princeton University",11719,83,53,197,144
121,Princeton,Martin H. Wühr,"Lewis-Sigler Institute, Princeton University",4307,26,25,42,41
122,Stanford,Christopher O. Barnes,Stanford University,8572,34,32,47,47
123,Stanford,Dominique Bergmann,"Professor of Biology, Stanford University",4923,45,40,74,66
124,Stanford,Barbara Block,"professor of Biology, Stanford University",10943,87,53,226,185
125,Stanford,Xiaoke Chen,Stanford University,1297,15,14,17,16
126,Stanford,Jonas Cremer,Stanford University,733,15,14,16,15
127,Stanford,Martha S. Cyert,"Professor of Biology, Stanford University",2442,44,26,59,44
128,Stanford,Gretchen C. Daily,"Bing Professor of Environmental Science, Stanford University",39332,112,77,225,185
129,Stanford,José R. Dinneny,"Stanford University, Department of Biology",5043,39,35,54,49
130,Stanford,Rodolfo Dirzo,Biology Professor at Stanford University,21191,78,50,208,161
131,Stanford,Marcus Feldman,"Professor of Biological Sciences, Stanford University",26409,113,70,501,302
132,Stanford,Chris Field,"Director, Woods Institute for the Environment, Stanford University",64144,152,98,353,270
133,Stanford,Hunter Fraser,"Professor of Biology, Stanford",3326,43,33,68,59
134,Stanford,Judith Frydman,Stanford University,8945,72,53,117,103
135,Stanford,Tadashi Fukami,Stanford University,10309,54,47,88,82
136,Stanford,Deborah M Gordon,"Professor, Dept. of Biology, Stanford University",4657,65,38,148,111
137,Stanford,Or Gozani,"Morris Herzstein Professor of Biology, Stanford University",7001,66,47,103,93
138,Stanford,H. Craig Heller,"Professor of Biology and Human Biology, Stanford University",7031,78,37,213,121
139,Stanford,Mary Hynes,Stanford University,1896,28,17,36,23
140,Stanford,Richard Klein,"Professor of Biology, Stanford University",6260,83,37,184,128
141,Stanford,Ron Kopito,"Professor of Biology, Stanford University",7382,74,40,122,81
142,Stanford,Christopher Lowe,"Department of Biology, Stanford University",1945,35,24,52,45
143,Stanford,Liqun Luo,"Professor of Biology, Stanford University",21739,108,75,208,197
144,Stanford,Susan K. McConnell,"Department of Biology, Stanford University",4029,64,36,90,68
145,Stanford,Erin Mordecai,Stanford University,4615,34,33,56,52
146,Stanford,Lauren O'Connell,Stanford University,2816,28,25,49,48
147,Stanford,Stephen Palumbi,Professor of Biology,25257,113,67,247,198
148,Stanford,Kabir Peay,Stanford University,9566,46,44,78,74
149,Stanford,Dmitri Petrov,"Michelle&Kevin Douglas Professor of Biology, Stanford, pdfs are free: http://petrov.stanford.edu",11031,76,59,178,154
150,Stanford,Jonathan Pritchard,Stanford University,57733,105,91,161,142
151,Stanford,Kristy Red-Horse,Stanford University,3413,36,32,45,42
152,Stanford,Noah Rosenberg,Stanford University,17768,62,47,141,115
153,Stanford,Mark J. Schnitzer,"Professor, HHMI Investigator, Stanford University",13051,68,58,111,103
154,Stanford,Molly Schumer,HHMI and Stanford University,1635,19,18,22,21
155,Stanford,Naima G. Sharaf,"Assistant professor of Biology, Stanford University",1892,9,9,9,9
